Index_Number,Order_ID,Order_Date,Supplier_ID,Supplier_Name,Product_ID,Product_Name,Category,Customer_ID,Customer_Name,Customer_Country,Warehouse_ID,Warehouse_Name,Carrier,Quantity,Unit_Cost,Discount_Rate,Total_Value,Expected_Delivery,Actual_Delivery,Lead_Time_Days,Status,Delivery_Bucket
1,ORD-0001,15-04-2023,SUP-001,GlobalParts Ltd,P-001,Electronic Components,Electronics,C-002,TechBuild GmbH,Germany,WH-03,Berlin Depot,DHL Supply Chain,387,45,0.06,16370.1,29-04-2023,05-05-2023,14,Delivered,Late
2,ORD-0002,28-07-2024,SUP-001,GlobalParts Ltd,P-002,Steel Rods,Raw Material,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,DB Schenker,23,8.5,0.11,174,08-08-2024,,11,Pending,Pending
3,ORD-0003,07-01-2023,SUP-005,PrimeMaterials Corp,P-007,Aluminum Sheets,Raw Material,C-004,ManuFacture Ltd,UK,WH-02,Chicago Hub,DB Schenker,424,18.5,0.06,7373.36,22-01-2023,30-01-2023,15,Delivered,Late
4,ORD-0004,10-04-2023,SUP-003,EuroParts GmbH,P-003,Plastic Casings,Packaging,C-003,IndustrialCorp,India,WH-02,Chicago Hub,FedEx Freight,204,15.75,0.05,3052.35,11-05-2023,21-05-2023,31,Delivered,Late
5,ORD-0005,19-07-2024,SUP-003,EuroParts GmbH,P-001,Electronic Components,Electronics,C-005,PrimeAssembly Co,Japan,WH-04,Shanghai East,FedEx Freight,50,45,0.12,1980,09-08-2024,,21,In Transit,Pending
6,ORD-0006,22-08-2023,SUP-005,PrimeMaterials Corp,P-006,Copper Wire,Raw Material,C-002,TechBuild GmbH,Germany,WH-05,São Paulo North,FedEx Freight,348,22,0.13,6660.72,15-09-2023,13-09-2023,24,Delivered,On Time
7,ORD-0007,30-12-2023,SUP-001,GlobalParts Ltd,P-007,Aluminum Sheets,Raw Material,C-004,ManuFacture Ltd,UK,WH-03,Berlin Depot,Maersk Logistics,199,18.5,0.04,3534.24,15-01-2024,22-01-2024,16,Delivered,Late
8,ORD-0008,24-01-2024,SUP-001,GlobalParts Ltd,P-010,Bolt & Nut Sets,Hardware,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,DHL Supply Chain,246,2.5,0.1,553.5,22-03-2024,29-03-2024,58,Delivered,Late
9,ORD-0009,02-10-2023,SUP-002,TechSource Inc,P-006,Copper Wire,Raw Material,C-002,TechBuild GmbH,Germany,WH-01,Mumbai Central,FedEx Freight,215,22,0.14,4067.8,19-10-2023,19-10-2023,17,Delivered,On Time
10,ORD-0010,20-10-2024,SUP-005,PrimeMaterials Corp,P-006,Copper Wire,Raw Material,C-006,GlobalTech Solutions,Singapore,WH-02,Chicago Hub,UPS Supply Chain,462,22,0.02,9960.72,18-11-2024,,29,In Transit,Pending
11,ORD-0011,14-03-2024,SUP-002,TechSource Inc,P-004,Circuit Boards,Electronics,C-005,PrimeAssembly Co,Japan,WH-05,São Paulo North,Maersk Logistics,309,120,0.05,35226,03-04-2024,,20,Cancelled,Pending
12,ORD-0012,04-10-2024,SUP-002,TechSource Inc,P-009,LED Displays,Electronics,C-001,AutoMakers Inc,USA,WH-04,Shanghai East,FedEx Freight,88,85,0.1,6732,15-10-2024,24-10-2024,11,Delivered,Late
13,ORD-0013,15-09-2023,SUP-005,PrimeMaterials Corp,P-002,Steel Rods,Raw Material,C-004,ManuFacture Ltd,UK,WH-04,Shanghai East,DB Schenker,280,8.5,0.1,2142,20-09-2023,,5,In Transit,Pending
14,ORD-0014,21-03-2024,SUP-001,GlobalParts Ltd,P-009,LED Displays,Electronics,C-006,GlobalTech Solutions,Singapore,WH-03,Berlin Depot,Maersk Logistics,160,85,0,13600,01-04-2024,05-04-2024,11,Delivered,Late
15,ORD-0015,16-10-2024,SUP-003,EuroParts GmbH,P-009,LED Displays,Electronics,C-005,PrimeAssembly Co,Japan,WH-02,Chicago Hub,FedEx Freight,162,85,0.02,13494.6,28-10-2024,,12,Cancelled,Pending
16,ORD-0016,20-01-2023,SUP-002,TechSource Inc,P-009,LED Displays,Electronics,C-001,AutoMakers Inc,USA,WH-05,São Paulo North,DB Schenker,260,85,0.13,19227,29-01-2023,31-01-2023,9,Delivered,Late
17,ORD-0017,12-05-2024,SUP-003,EuroParts GmbH,P-004,Circuit Boards,Electronics,C-002,TechBuild GmbH,Germany,WH-01,Mumbai Central,DB Schenker,53,120,0.08,5851.2,22-05-2024,31-05-2024,10,Delivered,Late
18,ORD-0018,13-09-2024,SUP-002,TechSource Inc,P-003,Plastic Casings,Packaging,C-005,PrimeAssembly Co,Japan,WH-04,Shanghai East,DHL Supply Chain,280,15.75,0.14,3792.6,16-10-2024,16-10-2024,33,Delivered,On Time
19,ORD-0019,13-06-2024,SUP-002,TechSource Inc,P-005,Rubber Seals,Components,C-006,GlobalTech Solutions,Singapore,WH-04,Shanghai East,Maersk Logistics,470,3.25,0.02,1496.95,27-07-2024,,44,In Transit,Pending
20,ORD-0020,25-08-2024,SUP-002,TechSource Inc,P-002,Steel Rods,Raw Material,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,DB Schenker,127,8.5,0,1079.5,06-09-2024,,12,Pending,Pending
21,ORD-0021,01-09-2023,SUP-001,GlobalParts Ltd,P-004,Circuit Boards,Electronics,C-001,AutoMakers Inc,USA,WH-01,Mumbai Central,Maersk Logistics,273,120,0.07,30466.8,17-09-2023,24-09-2023,16,Delivered,Late
22,ORD-0022,29-04-2024,SUP-005,PrimeMaterials Corp,P-003,Plastic Casings,Packaging,C-005,PrimeAssembly Co,Japan,WH-05,São Paulo North,UPS Supply Chain,411,15.75,0.01,6408.52,01-06-2024,01-06-2024,33,Delivered,On Time
23,ORD-0023,20-11-2024,SUP-004,AsiaTrade Co,P-006,Copper Wire,Raw Material,C-004,ManuFacture Ltd,UK,WH-04,Shanghai East,UPS Supply Chain,37,22,0.01,805.86,08-12-2024,,18,Cancelled,Pending
24,ORD-0024,24-05-2023,SUP-003,EuroParts GmbH,P-002,Steel Rods,Raw Material,C-002,TechBuild GmbH,Germany,WH-02,Chicago Hub,DHL Supply Chain,239,8.5,0.03,1970.55,11-06-2023,,18,Pending,Pending
25,ORD-0025,29-10-2024,SUP-004,AsiaTrade Co,P-004,Circuit Boards,Electronics,C-004,ManuFacture Ltd,UK,WH-01,Mumbai Central,DB Schenker,35,120,0.14,3612,06-11-2024,04-11-2024,8,Delivered,On Time
26,ORD-0026,15-02-2024,SUP-002,TechSource Inc,P-003,Plastic Casings,Packaging,C-004,ManuFacture Ltd,UK,WH-04,Shanghai East,UPS Supply Chain,452,15.75,0.06,6691.86,07-03-2024,06-03-2024,21,Delivered,On Time
27,ORD-0027,23-07-2024,SUP-004,AsiaTrade Co,P-005,Rubber Seals,Components,C-003,IndustrialCorp,India,WH-04,Shanghai East,UPS Supply Chain,500,3.25,0.02,1592.5,06-09-2024,,45,Cancelled,Pending
28,ORD-0028,18-11-2023,SUP-003,EuroParts GmbH,P-004,Circuit Boards,Electronics,C-005,PrimeAssembly Co,Japan,WH-01,Mumbai Central,DB Schenker,392,120,0.09,42806.4,27-11-2023,24-11-2023,9,Delivered,On Time
29,ORD-0029,10-07-2023,SUP-005,PrimeMaterials Corp,P-009,LED Displays,Electronics,C-001,AutoMakers Inc,USA,WH-02,Chicago Hub,DB Schenker,445,85,0.01,37446.75,18-07-2023,24-07-2023,8,Delivered,Late
30,ORD-0030,10-02-2023,SUP-002,TechSource Inc,P-007,Aluminum Sheets,Raw Material,C-005,PrimeAssembly Co,Japan,WH-01,Mumbai Central,DHL Supply Chain,314,18.5,0.06,5460.46,22-02-2023,,12,Pending,Pending
31,ORD-0031,18-11-2023,SUP-005,PrimeMaterials Corp,P-010,Bolt & Nut Sets,Hardware,C-003,IndustrialCorp,India,WH-05,São Paulo North,Maersk Logistics,352,2.5,0.06,827.2,14-01-2024,15-01-2024,57,Delivered,Late
32,ORD-0032,30-07-2024,SUP-003,EuroParts GmbH,P-008,Adhesive Compounds,Chemicals,C-001,AutoMakers Inc,USA,WH-03,Berlin Depot,FedEx Freight,328,9,0.01,2922.48,27-08-2024,,28,In Transit,Pending
33,ORD-0033,08-09-2023,SUP-002,TechSource Inc,P-009,LED Displays,Electronics,C-002,TechBuild GmbH,Germany,WH-03,Berlin Depot,Maersk Logistics,460,85,0.02,38318,25-09-2023,26-09-2023,17,Delivered,Late
34,ORD-0034,21-07-2024,SUP-005,PrimeMaterials Corp,P-005,Rubber Seals,Components,C-006,GlobalTech Solutions,Singapore,WH-05,São Paulo North,DB Schenker,351,3.25,0.02,1117.93,29-08-2024,05-09-2024,39,Delivered,Late
35,ORD-0035,16-10-2023,SUP-002,TechSource Inc,P-005,Rubber Seals,Components,C-001,AutoMakers Inc,USA,WH-01,Mumbai Central,DB Schenker,149,3.25,0.05,460.04,21-11-2023,29-11-2023,36,Delivered,Late
36,ORD-0036,09-03-2024,SUP-003,EuroParts GmbH,P-009,LED Displays,Electronics,C-003,IndustrialCorp,India,WH-04,Shanghai East,FedEx Freight,334,85,0,28390,23-03-2024,20-03-2024,14,Delivered,On Time
37,ORD-0037,13-03-2024,SUP-002,TechSource Inc,P-005,Rubber Seals,Components,C-006,GlobalTech Solutions,Singapore,WH-02,Chicago Hub,UPS Supply Chain,371,3.25,0.02,1181.63,12-04-2024,,30,Pending,Pending
38,ORD-0038,16-03-2024,SUP-002,TechSource Inc,P-009,LED Displays,Electronics,C-003,IndustrialCorp,India,WH-01,Mumbai Central,DB Schenker,85,85,0.01,7152.75,26-03-2024,,10,Pending,Pending
39,ORD-0039,29-12-2023,SUP-003,EuroParts GmbH,P-001,Electronic Components,Electronics,C-002,TechBuild GmbH,Germany,WH-03,Berlin Depot,DHL Supply Chain,62,45,0.15,2371.5,23-01-2024,,25,Cancelled,Pending
